City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
336,kaa-khem,0,RU,1553666396,61,51.7,94.56,36.89,3.98
337,west wendover,1,US,1553662560,70,40.74,-114.07,46.4,4.7
338,opuwo,80,NA,1553666397,77,-18.06,13.84,61.91,3.2
339,qaqortoq,32,GL,1553662200,48,60.72,-46.03,17.6,11.41
340,strehaia,0,RO,1553665686,86,44.62,23.2,43.0,5.82
341,ribeira grande,0,PT,1553666398,100,38.52,-28.7,59.12,10.47
342,erenhot,0,CN,1553666314,39,43.65,111.97,38.51,6.89
343,chifeng,76,CN,1553666293,59,42.27,118.96,34.37,9.24
344,kavaratti,0,IN,1553666268,100,10.57,72.64,83.78,6.33
345,inhambane,20,MZ,1553662800,69,-23.87,35.38,77.0,6.93
346,port blair,12,IN,1553666399,100,11.67,92.75,84.32,6.89
347,honningsvag,64,NO,1553662200,68,70.98,25.97,26.6,23.04
348,arona,0,IT,1553666163,64,45.76,8.56,45.0,6.93
349,bani walid,12,LY,1553666421,66,31.76,14.0,51.47,5.77
350,aquiraz,20,BR,1553666291,94,-3.9,-38.39,77.0,3.09
351,beringovskiy,36,RU,1553666160,89,63.05,179.32,29.33,25.68
352,zhigansk,0,RU,1553666313,55,66.77,123.37,12.05,6.33
353,novobirilyussy,0,RU,1553666422,83,56.95,90.69,35.99,6.44
354,ceres,64,AR,1553666423,79,-29.88,-61.95,60.2,7.23
355,terenos,0,BR,1553662800,69,-20.44,-54.87,75.2,8.05
356,latung,76,ID,1553666424,90,-8.45,120.42,79.1,3.76
357,roebourne,36,AU,1553666424,93,-20.77,117.15,85.4,6.78
358,ancud,0,CL,1553662800,81,-41.87,-73.83,46.4,5.82
359,sola,90,NO,1553666105,100,58.89,5.65,43.0,6.93
360,kathu,0,ZA,1553666424,61,-27.7,23.05,66.0,3.09
361,rongcheng,0,CN,1553666135,62,37.16,122.42,57.0,1.99
362,deputatskiy,0,RU,1553666426,74,69.3,139.9,8.72,3.98
363,havoysund,75,NO,1553664000,58,71.0,24.66,26.6,13.87
364,udachnyy,88,RU,1553666427,78,66.42,112.4,25.82,4.54
365,tunceli,75,TR,1553664240,75,39.11,39.55,45.0,2.75
366,yar-sale,80,RU,1553666428,95,66.83,70.83,33.83,19.75
367,wexford,1,US,1553666427,42,40.63,-80.06,32.0,5.82
368,antofagasta,20,CL,1553662800,82,-23.65,-70.4,62.6,4.7
369,punta alta,0,AR,1553662800,68,-27.46,-55.82,64.4,6.93
370,arcachon,0,FR,1553665864,81,44.65,-1.18,39.2,8.05
371,sibay,0,RU,1553666430,94,52.72,58.67,30.05,5.66
372,coquimbo,90,CL,1553662800,93,-29.95,-71.34,55.4,1.12
373,mananjary,12,MG,1553666430,81,-19.16,46.8,71.81,3.87
374,aqtobe,0,KZ,1553664600,64,50.28,57.21,39.2,2.24
375,axim,8,GH,1553666302,100,4.87,-2.24,81.98,6.55
376,ribas do rio pardo,24,BR,1553666343,67,-20.45,-53.76,73.88,9.01
377,canton,1,US,1553666428,63,40.8,-81.38,30.2,3.09
378,hyeres,0,FR,1553666398,86,43.12,6.14,43.0,3.42
379,dongying,12,CN,1553666432,39,37.43,118.67,63.53,16.96
380,port lincoln,68,AU,1553666433,81,-34.72,135.86,67.58,4.65
381,thai binh,75,VN,1553664600,83,20.45,106.33,77.0,5.82
382,lasa,40,CY,1553665573,82,34.92,32.53,57.2,4.7
